src_i,src_j,height,shared_boundary_m
5,6,15,2.987033859364997
7,8,24,12.193483371457742
9,10,24,13.209587126264374
11,12,6,9.145085361655493
13,14,24,10.161188853454165
30,31,24,12.193407096035154
32,33,21,12.193385351767219
34,35,24,11.177237946449809
36,37,24,12.193319648619257
38,39,24,12.193308886142855
55,138,51,36.90699472271299
63,64,21,18.290197172456537
67,78,12,9.145087760765056
83,84,18,19.306169037187406
87,98,18,15.24167096640326
88,542,57,24.38687807235383
88,90,57,4.064472376355982
101,113,21,11.177194852908146
107,240,24,15.241529050253572
115,116,24,45.10921801649752
118,548,6,8.128868450400615
120,121,24,9.144959294018735
121,124,24,23.579932758111674
122,123,24,29.73113900369227
128,130,21,52.28542179567711
129,131,24,52.28524290863905
145,146,24,5.080528868218175
145,148,24,50.234661745795826
146,147,24,9.22676968837671
147,148,24,6.096643563616956
149,150,21,12.1932105878404
151,152,21,12.193188789356793
153,154,21,10.160970670245588
170,171,21,10.160959887400743
173,174,21,12.193123413647683
175,176,21,12.19309066896013
177,178,21,13.209150504120595
179,190,21,12.193047007023821
191,192,21,10.16085065012987
191,194,21,42.0320923200803
192,193,21,17.42795425114555
193,194,21,2.032163501581252
195,196,21,13.209074097775149
197,198,21,13.209052364494166
199,210,21,14.225090501248726
201,204,6,11.276983108647215
211,212,21,7.112540837637677
215,330,18,9.144616156989853
223,224,24,15.241496467177187
226,227,24,15.241452747143486
230,649,27,21.338136303247822
231,232,24,8.128770226256409
233,664,18,15.241384095269412
235,670,12,27.434397515308106
239,261,21,17.401698533801326
245,248,18,26.654842759147876
247,291,12,8.201498853066843
250,251,24,14.225317360914064
253,254,15,15.24135454477755
256,257,24,15.241310906191405
259,270,24,15.241267228845862
260,692,12,15.241285722180946
264,695,15,13.209093256710574
266,269,27,20.503777773919968
267,268,15,8.20158815840014
271,272,51,28.70501797775845
273,274,24,15.241223518637705
277,278,24,15.241190886474504
281,283,15,26.516975133393036
284,285,21,6.096468544776168
294,295,18,29.635587501078952
310,311,12,7.112504732297294
312,716,18,18.289274685625628
314,721,36,21.3374270837993
319,943,3,7.112450324019516
337,338,18,18.452536615980737
347,348,39,11.176572280581166
350,367,21,9.144430526117544
374,375,18,14.224577621527992
379,382,18,15.376931861931254
380,381,54,29.72877412037551
388,389,21,26.653085785170408
393,394,21,4.0641635697709155
393,395,21,15.376839179168236
394,396,21,15.37683827954067
395,396,21,6.096228740551909
397,398,21,11.176408644562255
400,401,21,11.176386946117244
403,405,21,10.16032695437539
406,407,21,11.176321290830703
409,410,21,11.17629953800359
412,428,21,11.176266695861269
429,430,33,10.16022871376881
431,432,9,21.33645194331203
436,437,21,10.16004321660145
466,467,21,9.144004951905087
469,472,21,47.15316916287369
470,471,21,10.15995596489579
473,474,18,10.159912188309109
477,478,18,32.80212462505637
480,481,21,10.250839870991179
487,583,18,5.080592793697825
488,585,21,16.257866425101334
491,591,21,16.257790074787568
492,723,21,12.193285099673142
493,494,21,6.151084106723147
495,728,21,12.193197853161355
498,770,21,11.176957195177119
502,802,21,8.128627631896435
503,807,21,12.192848607478068
505,811,24,17.27311411014779
507,833,24,10.160640128286483
508,834,24,5.0803091319433085
510,1022,48,1.1951798664137863
517,519,21,6.184497901229439
520,533,21,14.225672860888732
537,538,18,14.225640327022955
539,541,12,18.29006522032632
553,555,18,4.064446745543596
557,558,18,13.20944126927474
568,569,18,2.279284779002004
571,627,21,12.302476491970136
575,576,24,8.12895494390714
588,589,18,2.0322306234529917
592,593,21,12.193449135463334
594,595,21,14.225659872528954
598,599,24,26.41895627661077
616,618,21,15.241563321092082
616,621,21,12.302373465107632
617,629,12,14.352868401096034
619,742,21,13.32762126478584
620,742,21,8.201582869983453
624,626,9,17.42851835722128
625,636,18,11.27732826438696
632,633,18,6.0966484143100255
634,635,18,12.193263982553317
637,638,18,10.25208303825838
642,645,12,16.403481611623366
643,646,18,20.504276463943185
644,647,21,8.201789017271256
648,650,6,13.310732225698963
673,674,30,39.62753794178056
675,676,21,11.176956030442811
680,702,18,4.064326773557356
680,705,18,36.906717498949575
681,704,3,21.52888416996345
688,690,51,10.251822777966444
697,699,21,16.40306800837466
702,703,18,2.0503468797587474
703,705,18,5.0804057241379965
709,922,24,14.22509462586081
726,727,21,16.402960618724666
730,731,21,18.28973680209986
733,737,21,11.277125490405528
734,736,24,23.579492393600457
735,738,21,15.377813647808749
743,744,21,12.193209149118736
744,746,21,14.225365096742802
749,750,24,13.20923259865569
757,758,21,2.27923653946855
764,766,21,15.241374639606699
772,773,24,12.193099893167428
777,779,24,16.257412134044372
781,823,24,14.225190531387957
790,813,21,11.276745242030318
791,814,27,13.327090676919685
792,794,21,13.209100478792148
796,800,21,13.326988750857698
797,801,21,11.276742784504078
798,803,21,5.125714779765253
799,800,21,7.112561535729024
809,810,24,12.192826920963068
812,815,15,27.679499294194546
821,842,21,113.7908367972622
824,825,24,13.209079791669772
827,829,21,31.780293513302148
830,938,30,17.42764710600892
835,836,24,16.4021443106242
837,838,21,11.176607891715857
840,1023,21,10.160530840746194
841,852,21,14.224675519186595
851,877,21,19.47705688835925
855,1026,21,10.160465438389876
858,1027,15,7.112299618429862
868,869,18,19.30469688248333
868,882,18,13.32662764915489
870,871,12,11.276288483659103
874,875,15,9.144344720103003
878,1030,15,7.112244984632338
879,880,15,13.326329146670245
882,883,18,7.112240726660563
888,889,3,6.096151663319616
889,890,3,10.16024556261464
893,1031,21,13.208380234957989
895,1032,21,13.208347410252758
914,915,18,19.304424021777717
919,1184,18,19.740672498179308
919,1187,18,7.75811627497527
920,921,30,2.0320140979761363
926,927,6,5.080318585410323
926,928,6,6.855503479212386
926,930,6,10.069268678601638
927,929,6,2.285168149804445
930,931,6,15.377364564606461
940,952,6,13.6749813554144
946,1045,21,8.128486443986336
946,949,21,10.251680405451435
947,948,3,17.401352779829566
947,950,3,39.98131891266122
948,951,3,24.60395023322082
950,951,3,33.49184367706603
953,954,12,17.272840541798104
953,956,12,19.65324710601774
954,958,12,13.710894881814546
956,958,12,32.51351222382167
956,959,12,34.27695570929789
965,1078,6,13.208645913667173
966,1081,21,14.22464950905188
976,984,6,14.589478499660988
977,987,15,6.1508303762585275
977,993,15,14.351807864039694
978,979,42,25.628298320824367
980,993,15,15.516599136338838
985,988,12,22.552992765652537
986,988,12,5.1257570301538395
1012,1013,15,11.176257552798873
1015,1016,18,4.064086649599444
1018,1020,18,9.144197944152234
1037,1040,6,13.327090823919729
1043,1066,15,34.8513425302132
1046,1047,24,12.352494597579739
1046,1048,24,37.931049545834654
1047,1049,24,14.35227987276322
1048,1049,24,42.559892586141714
1049,1050,24,27.41404109910097
1051,1052,48,42.82696088986096
1051,1053,48,36.562432292174066
1054,1075,21,6.096315767139753
1056,1057,54,22.353298494410456
1060,1061,12,33.52975139708224
1063,1085,15,8.128352206024166
1072,1074,27,24.603277845508458
1073,1095,15,24.603269864904668
1076,1077,15,9.144468220157327
1084,1125,21,19.304568929732987
1086,1087,12,22.352905816626436
1089,1090,15,16.40209222632462
1095,1096,15,15.084423938638384
1096,1101,15,15.084400182271064
1097,1099,12,9.116554241257983
1101,1106,15,14.188505525315211
1106,1127,15,15.084299819147965
1109,1121,12,13.208330953700216
1117,1118,18,16.256431570193918
1128,1129,12,19.304372514029556
1131,1206,18,15.240216554678899
1132,1209,6,24.384182744700265
1134,1221,15,30.480127566732858
1137,1139,24,6.0961134778957495
1141,1248,21,8.128125761340506
1142,1249,21,9.144115449230988
1142,1143,21,20.50161807556028
1147,1150,6,15.376293039588056
1148,1151,21,14.351343637868274
1149,1150,6,18.45162638827686
1154,1168,12,11.2757242592728
1155,1156,24,14.22411025265841
1158,1160,30,14.224088621847969
1162,1169,24,25.399713900040148
1165,1167,93,38.95237681504228
1166,1169,24,34.85239723445696
1174,1175,21,8.127929381341792
1174,1176,21,44.07747787340273
1178,1251,3,12.191844911703244
1184,1185,18,5.50717460233298
1187,1212,18,27.67784957358391
1189,1190,18,5.125532877627069
1189,1211,18,18.451935063112657
1195,1196,21,17.272153124684998
1199,1200,63,13.208066453944403
1201,1204,24,28.70321582952508
1202,1206,18,17.426908092600275
1203,1205,12,12.30136648876945
1221,1224,15,28.997855399371602
1222,1232,15,8.260038429081119
1224,1283,15,12.192020559748611
1227,1284,9,8.127995436030522
1229,1230,12,15.376329310091766
1234,1235,9,6.095928290864074
