clean_id,height_network48_m,phase_sigma_network48_rad,roof_iqr_network48_m,support_points,ground_points,unwrap_valid_support_points,gamma_sbas_output_points,points_after_iqr,median_mean_coherence,height_network36_m,phase_sigma_network36_rad,roof_iqr_network36_m,network_height_difference_m,absolute_network_height_difference_m,insar_height_m,median_phase_sigma_rad,roof_height_iqr_m,solution_source,filled_from_prior,insar_only,paper_median_height_m,upper_plateau_applied,upper_plateau_point_jaccard,upper_plateau_network_difference_m,aggregation_extension,upper_plateau_uplift_m
66,14.66809594631195,0.2128801494836807,3.8486647605896,12,40,11,11,11.0,0.7735085010839006,16.72102653980255,0.1600936353206634,3.225477695465088,2.0529305934906006,2.0529305934906006,15.694561243057253,0.186486892402172,3.537071228027344,GAMMA_equal_network48_36_consensus,0,0,15.694561243057253,0,,,paper_IQR_median,0.0
74,11.444621056318285,0.1086698845028877,2.024967193603516,14,40,14,14,14.0,0.8337478572502732,11.070233412086964,0.1038211174309253,1.936568260192871,-0.3743876442313212,0.3743876442313212,11.257427234202623,0.1062455009669064,1.9807677268981936,GAMMA_equal_network48_36_consensus,0,0,11.257427234202623,0,,,paper_IQR_median,0.0
82,12.053170680999756,0.1687611564993858,3.032022953033448,81,40,79,79,78.0,0.8664124328643084,12.768267393112184,0.1771962791681289,3.0193581581115723,0.7150967121124285,0.7150967121124285,12.41071903705597,0.1729787178337573,3.0256905555725098,GAMMA_equal_network48_36_consensus,0,0,12.41071903705597,0,,,paper_IQR_median,0.0
84,18.88749596476555,0.229192852973938,1.804780960083008,16,40,15,15,15.0,0.7832892922063669,19.33166892081499,0.2817849814891815,3.049371719360352,0.4441729560494423,0.4441729560494423,19.10958244279027,0.2554889172315597,2.42707633972168,GAMMA_equal_network48_36_consensus,0,0,19.10958244279027,0,,,paper_IQR_median,0.0
92,19.711989760398865,0.1131796538829803,2.0389328002929688,14,40,7,7,6.0,0.8059973424921434,19.275130540132523,0.1806797757744789,2.082195281982422,-0.4368592202663421,0.4368592202663421,19.493560150265694,0.1469297148287296,2.0605640411376958,GAMMA_equal_network48_36_consensus,0,0,19.493560150265694,0,,,paper_IQR_median,0.0
94,13.021118640899658,0.1282128393650055,1.538897156715393,15,40,14,14,13.0,0.8328574324647585,12.55629825592041,0.0799612551927566,1.5035955905914309,-0.464820384979248,0.464820384979248,12.788708448410034,0.104087047278881,1.521246373653412,GAMMA_equal_network48_36_consensus,0,0,12.788708448410034,0,,,paper_IQR_median,0.0
96,18.47620913386345,0.1099447086453437,2.044469356536865,8,40,8,8,8.0,0.7814373864481846,20.30832514166832,0.1666261255741119,1.465059757232666,1.8321160078048704,1.8321160078048704,19.392267137765884,0.1382854171097278,1.7547645568847654,GAMMA_equal_network48_36_consensus,0,0,19.392267137765884,0,,,paper_IQR_median,0.0
98,20.23705697059632,0.2944062054157257,7.56990647315979,15,40,14,14,14.0,0.7658549218128126,21.114083290100098,0.3042117059230804,7.213960886001587,0.8770263195037806,0.8770263195037806,20.67557013034821,0.2993089556694031,7.391933679580688,GAMMA_equal_network48_36_consensus,0,0,20.67557013034821,0,,,paper_IQR_median,0.0
100,22.19426023960113,0.3248763084411621,1.6247472763061523,24,40,23,23,23.0,0.774961415057381,22.200026154518127,0.4850039482116699,1.920122146606445,0.0057659149169957,0.0057659149169957,22.19714319705963,0.404940128326416,1.7724347114562988,GAMMA_equal_network48_36_consensus,0,0,22.19714319705963,0,,,paper_IQR_median,0.0
107,11.882458925247192,0.1472542509436607,2.8451988697052,29,40,28,28,28.0,0.8735649486382802,13.420387327671053,0.1441447921097278,4.020220756530762,1.5379284024238604,1.5379284024238604,12.651423126459122,0.1456995215266942,3.432709813117981,GAMMA_equal_network48_36_consensus,0,0,12.651423126459122,0,,,paper_IQR_median,0.0
