master,slave,bperp_m,dt_days
20200114,20200320,-245.1781,66
20200320,20200525,213.462,66
20200525,20200616,-43.5504,22
20200525,20200708,-6.1296,44
20200616,20200708,37.4208,22
20200616,20200821,-466.1337,66
20200708,20200901,7.3952,55
20200730,20200821,96.7182,22
20200730,20200923,52.8747,55
20200821,20200923,-43.8435,33
20200821,20201026,429.0719,66
20200901,20201026,-81.8778,55
20200923,20201026,472.9154,33
20201026,20201117,95.3519,22
20201026,20201209,5.2808,44
20201117,20201209,-90.0711,22
20201117,20210111,-8.9865,55
20201209,20210111,81.0846,33
20210420,20210625,109.685,66
20210625,20210808,-8.5144,44
20210808,20210910,-51.3846,33
20210808,20211002,-123.38,55
20210910,20211002,-71.9954,22
20210910,20211104,107.7728,55
20211002,20211104,179.7682,33
20220418,20220601,484.9684,44
20220418,20220623,377.9102,66
20220601,20220623,-107.0582,22
20220623,20220715,-456.0911,22
20220623,20220806,-413.3786,44
20220623,20220828,4.941,66
20220715,20220806,42.7125,22
20220715,20220828,461.0321,44
20220806,20220828,418.3196,22
20220806,20220919,460.1239,44
20220806,20221011,148.9312,66
20220828,20220919,41.8043,22
20220828,20221011,-269.3884,44
20220828,20221102,-241.2957,66
20220919,20221011,-311.1927,22
20220919,20221102,-283.1,44
20221011,20221102,28.0927,22
20221011,20221205,-71.8975,55
20221102,20221205,-99.9902,33
20221102,20221227,-176.9047,55
20221205,20221227,-76.9145,22
20221227,20230220,193.4938,55
20230220,20230325,-137.0502,33
20230220,20230427,384.1531,66
20230325,20230519,233.4884,55
20230427,20230519,-287.7149,22
20230427,20230610,-410.5509,44
20230427,20230702,-462.7654,66
20230519,20230610,-122.836,22
20230519,20230702,-175.0505,44
20230519,20230724,127.028,66
20230610,20230702,-52.2145,22
20230610,20230724,249.864,44
20230610,20230815,119.4943,66
20230702,20230724,302.0785,22
20230702,20230815,171.7088,44
20230724,20230815,-130.3697,22
20230724,20230917,55.1316,55
20230815,20230917,185.5013,33
20230815,20231009,147.6664,55
20230917,20231009,-37.8349,22
20230917,20231031,9.5715,44
20230917,20231111,-134.5994,55
20231009,20231031,47.4064,22
20231009,20231111,-96.7645,33
20231031,20231111,-144.1709,11
