master,slave,dt_days,bperp_m,abs_bperp_m,height_ambiguity_m,selection_class,bperp_m_source,mean_coh,median_coh,p10_coh,p90_coh,frac_ge_05,frac_ge_06
20220601,20220623,22,-102.17947312960034,102.17947312960034,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4089252650737762,0.3934553861618042,0.1565051227807998,0.6854579448699951,0.3167795414462081,0.1812398589065255
20220601,20220806,66,-493.4610161640147,493.4610161640147,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4066396057605743,0.3939406871795654,0.1572413444519043,0.6748518943786621,0.3144885361552028,0.1747460317460317
20220623,20220715,22,-453.9896674943888,453.9896674943888,,available_dsm_degree2,approx_from_dsm_coherence_table,0.3796020448207855,0.3667368292808532,0.1464450359344482,0.6307700276374817,0.2581322751322751,0.128989417989418
20220623,20220806,44,-391.2366067469428,391.2366067469428,,available_dsm_degree2,approx_from_dsm_coherence_table,0.3795143663883209,0.3668609261512756,0.1470631211996078,0.6300212740898132,0.257389770723104,0.1280282186948853
20220623,20220828,66,-60.85736192533279,60.85736192533279,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4256381094455719,0.4081117808818817,0.1615380048751831,0.7187745571136475,0.3475767195767196,0.2120335097001763
20220715,20220806,22,64.18153695339839,64.18153695339839,,available_dsm_degree2,approx_from_dsm_coherence_table,0.5432761907577515,0.5401378870010376,0.2099937200546264,0.8843017816543579,0.5519188712522046,0.424084656084656
20220806,20221011,66,145.52589400928156,145.52589400928156,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4659971892833709,0.4518776535987854,0.1782018840312957,0.7812915444374084,0.4254691358024691,0.2857319223985891
20220828,20220919,22,22.02972278887189,22.02972278887189,,available_dsm_degree2,approx_from_dsm_coherence_table,0.5421341061592102,0.5392687916755676,0.2098694741725921,0.8813864588737488,0.551384479717813,0.4228871252204585
20220828,20221011,44,-306.16318623790096,306.16318623790096,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4230822026729584,0.409271240234375,0.162924125790596,0.7043101787567139,0.346347442680776,0.2048483245149912
20220828,20221102,66,-280.42273055316355,280.42273055316355,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4205334484577179,0.4059606790542602,0.1617663651704788,0.7023874521255493,0.3409506172839506,0.2010493827160493
20220919,20221011,22,-320.86897995107086,320.86897995107086,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4354511201381683,0.421941339969635,0.1677051931619644,0.7253791689872742,0.3702592592592592,0.2281816578483245
20220919,20221102,44,-294.8533446561725,294.8533446561725,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4275956749916076,0.4137217998504638,0.1648390591144561,0.7123908400535583,0.3549100529100529,0.2132522045855379
20221011,20221102,22,26.38957292665041,26.38957292665041,,available_dsm_degree2,approx_from_dsm_coherence_table,0.538756251335144,0.5354346036911011,0.2070822417736053,0.878492534160614,0.54563139329806,0.417663139329806
20221011,20221205,55,-44.19443752880237,44.19443752880237,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4831143617630005,0.4694860577583313,0.184400275349617,0.8074429035186768,0.4546860670194003,0.3179206349206349
20221102,20221205,33,-70.55818454003634,70.55818454003634,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4843261539936065,0.4736917912960052,0.1871168911457061,0.8016149997711182,0.4601552028218695,0.3199541446208113
20221102,20221227,55,-165.14318066976594,165.14318066976594,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4472164809703827,0.4330270886421203,0.1725549697875976,0.7454808354377747,0.3917248677248677,0.2499118165784832
20221205,20221227,22,95.76943874114085,95.76943874114085,,available_dsm_degree2,approx_from_dsm_coherence_table,0.5163377523422241,0.5118285417556763,0.2026925832033157,0.839667022228241,0.5164991181657849,0.3789100529100529
20221227,20230220,55,172.45422481596682,172.45422481596682,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4735139310359955,0.4634799063205719,0.1844381988048553,0.7813769578933716,0.4422504409171076,0.2972169312169312
20230220,20230325,33,-132.9104675573406,132.9104675573406,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4980632662773132,0.4914762377738952,0.1936720013618469,0.8165807723999023,0.4872451499118165,0.3458783068783069
20230325,20230519,55,264.50719205523313,264.50719205523313,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4352377951145172,0.4207994937896728,0.1666556298732757,0.7278430461883545,0.3692433862433862,0.2285837742504409
20230427,20230519,22,-290.32121658658366,290.32121658658366,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4272568523883819,0.4132295250892639,0.1637502461671829,0.713208794593811,0.3543456790123457,0.2142627865961199
20230427,20230610,44,-426.286754815982,426.286754815982,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4195883870124817,0.4062017202377319,0.1623579114675521,0.6973923444747925,0.3399417989417989,0.1992257495590829
20230519,20230610,22,136.88401083189035,136.88401083189035,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4897897243499756,0.480299711227417,0.1893641650676727,0.8086385130882263,0.4708395061728395,0.3308712522045855
20230519,20230702,44,-201.7517677025588,201.7517677025588,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4498939216136932,0.4339503645896911,0.17093126475811,0.757430374622345,0.3962204585537919,0.2575149911816578
20230519,20230724,66,89.56328376723087,89.56328376723087,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4570693671703338,0.4435992538928985,0.1749389171600341,0.7642393708229065,0.4112874779541446,0.2694091710758377
20230610,20230702,22,-67.47827100080764,67.47827100080764,,available_dsm_degree2,approx_from_dsm_coherence_table,0.5132356286048889,0.5021078586578369,0.1962035298347473,0.8526067137718201,0.502989417989418,0.3708289241622575
20230610,20230724,44,222.8190255685896,222.8190255685896,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4236184954643249,0.4092575907707214,0.1629749536514282,0.7065426707267761,0.3461798941798942,0.2058536155202822
20230610,20230815,66,-83.78616393370177,83.78616393370177,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4559530317783355,0.4416073858737945,0.1744058579206466,0.7631803750991821,0.4081587301587301,0.2673121693121693
20230702,20230724,22,289.31501631252127,289.31501631252127,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4206895232200622,0.4064725339412689,0.1615345329046249,0.7028914093971252,0.341299823633157,0.2014074074074074
20230702,20230815,44,148.31555057954813,148.31555057954813,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4405553042888641,0.4248637557029724,0.1679280400276184,0.7407895922660828,0.3779876543209876,0.2386190476190476
20230724,20230815,22,-141.6934527453537,141.6934527453537,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4869241118431091,0.475648820400238,0.1879190504550933,0.8084588050842285,0.4640246913580247,0.3232698412698412
20230724,20230917,55,54.27114568656423,54.27114568656423,,available_dsm_degree2,approx_from_dsm_coherence_table,0.5143645405769348,0.5053205490112305,0.1982115805149078,0.8499816060066223,0.5074514991181658,0.3726366843033509
20230815,20230917,33,195.68234370599023,195.68234370599023,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4536869525909424,0.4390706121921539,0.1739989519119262,0.7600173950195312,0.4028059964726631,0.2624479717813051
20230815,20231009,55,166.87859368256215,166.87859368256215,,available_dsm_degree2,approx_from_dsm_coherence_table,0.4778969287872314,0.4643028080463409,0.1825411766767501,0.7994555234909058,0.4462574955908289,0.308283950617284
