master,slave,dt_days,bperp_m,abs_bperp_m,height_ambiguity_m,selection_class
20220601,20220623,22,-102.17947312960034,102.17947312960034,70.34595843129065,delaunay_dt72_bperp300
20220601,20220806,66,-493.4610161640147,493.4610161640147,14.566323851035387,degree_fill_dt72_bperp500
20220623,20220715,22,-453.9896674943888,453.9896674943888,15.835485236109362,degree_fill_dt72_bperp500
20220623,20220806,44,-391.23660674694275,391.23660674694275,18.37544481517199,density_fill_dt72_bperp400
20220623,20220828,66,-60.85736192533279,60.85736192533279,118.13109292798644,delaunay_dt72_bperp300
20220715,20220806,22,64.18153695339839,64.18153695339839,112.10807569742843,delaunay_dt72_bperp300
20220806,20221011,66,145.52589400928156,145.52589400928156,49.43582762982581,delaunay_dt72_bperp300
20220828,20220919,22,22.02972278887189,22.02972278887189,326.3314950106829,delaunay_dt72_bperp300
20220828,20221011,44,-306.16318623790096,306.16318623790096,23.480917025658798,density_fill_dt72_bperp400
20220828,20221102,66,-280.42273055316355,280.42273055316355,25.636268351650468,delaunay_dt72_bperp300
20220919,20221011,22,-320.86897995107086,320.86897995107086,22.40359088274247,density_fill_dt72_bperp400
20220919,20221102,44,-294.8533446561725,294.8533446561725,24.380314770277778,degree_fill_dt72_bperp300
20221011,20221102,22,26.389572926650406,26.389572926650406,272.54956834865925,delaunay_dt72_bperp300
20221011,20221205,55,-44.19443752880237,44.19443752880237,162.74597239475133,delaunay_dt72_bperp300
20221102,20221205,33,-70.55818454003634,70.55818454003634,101.9296173891393,delaunay_dt72_bperp300
20221102,20221227,55,-165.14318066976594,165.14318066976594,43.54989848608915,density_fill_dt72_bperp300
20221205,20221227,22,95.76943874114083,95.76943874114083,75.10487876213666,delaunay_dt72_bperp300
20221227,20230220,55,172.45422481596682,172.45422481596682,41.71580605694104,temporal_neighbor
20230220,20230325,33,-132.9104675573406,132.9104675573406,54.11418779424001,delaunay_dt72_bperp300
20230325,20230519,55,264.50719205523313,264.50719205523313,27.195613642515458,degree_fill_dt72_bperp300
20230427,20230519,22,-290.32121658658366,290.32121658658366,24.756825027879295,delaunay_dt72_bperp300
20230427,20230610,44,-426.286754815982,426.286754815982,16.860555669898176,degree_fill_dt72_bperp500
20230519,20230610,22,136.88401083189035,136.88401083189035,52.53643286646889,delaunay_dt72_bperp300
20230519,20230702,44,-201.75176770255882,201.75176770255882,35.64478134419538,density_fill_dt72_bperp300
20230519,20230724,66,89.56328376723087,89.56328376723087,80.294037278184,delaunay_dt72_bperp300
20230610,20230702,22,-67.47827100080764,67.47827100080764,106.58422164389508,delaunay_dt72_bperp300
20230610,20230724,44,222.81902556858958,222.81902556858958,32.27784958732339,density_fill_dt72_bperp300
20230610,20230815,66,-83.78616393370177,83.78616393370177,85.83898169855195,delaunay_dt72_bperp300
20230702,20230724,22,289.31501631252127,289.31501631252127,24.86190098434165,temporal_neighbor
20230702,20230815,44,148.31555057954813,148.31555057954813,48.49741824602009,delaunay_dt72_bperp300
20230724,20230815,22,-141.6934527453537,141.6934527453537,50.73284524473842,temporal_neighbor
20230724,20230917,55,54.271145686564225,54.271145686564225,132.45550502727508,delaunay_dt72_bperp300
20230815,20230917,33,195.68234370599023,195.68234370599023,36.74754360251375,temporal_neighbor
20230815,20231009,55,166.87859368256215,166.87859368256215,43.09028077775178,density_fill_dt72_bperp300
20230917,20231009,22,-29.437941711753034,29.437941711753034,244.18279159653332,delaunay_dt72_bperp300
20230917,20231031,44,-18.55833408962389,18.55833408962389,387.3321145808495,delaunay_dt72_bperp300
20230917,20231111,55,-138.11915511935754,138.11915511935754,52.043750049151924,density_fill_dt72_bperp300
20231009,20231031,22,-46.66645626483963,46.66645626483963,154.05037453190707,delaunay_dt72_bperp300
20231009,20231111,33,-109.28952930012032,109.28952930012032,65.77926642847652,delaunay_dt72_bperp300
20231031,20231111,11,-153.13746711950859,153.13746711950859,46.941061785300306,delaunay_dt72_bperp300
