master,slave,dt_days,bperp_m,abs_bperp_m,height_ambiguity_m,selection_class,bperp_m_source
20220601,20220623,22,-107.0582,107.0582,70.34595843129065,delaunay_dt72_bperp300,gamma_base_calc
20220715,20220806,22,42.7125,42.7125,112.10807569742845,delaunay_dt72_bperp300,gamma_base_calc
20220828,20220919,22,41.8043,41.8043,326.3314950106829,delaunay_dt72_bperp300,gamma_base_calc
20221102,20221205,33,-99.9902,99.9902,101.9296173891393,delaunay_dt72_bperp300,gamma_base_calc
20221205,20221227,22,-76.9145,76.9145,75.10487876213666,delaunay_dt72_bperp300,gamma_base_calc
20230220,20230325,33,-137.0502,137.0502,54.11418779424001,delaunay_dt72_bperp300,gamma_base_calc
20230519,20230610,22,-122.836,122.836,52.53643286646889,delaunay_dt72_bperp300,gamma_base_calc
20230519,20230702,44,-175.0505,175.0505,35.64478134419538,density_fill_dt72_bperp300,gamma_base_calc
20230610,20230702,22,-52.2145,52.2145,106.58422164389508,delaunay_dt72_bperp300,gamma_base_calc
20230610,20230724,44,249.864,249.864,32.27784958732339,density_fill_dt72_bperp300,gamma_base_calc
20230702,20230815,44,171.7088,171.7088,48.49741824602009,delaunay_dt72_bperp300,gamma_base_calc
20230724,20230815,22,-130.3697,130.3697,50.73284524473842,temporal_neighbor,gamma_base_calc
20230815,20230917,33,185.5013,185.5013,36.74754360251375,temporal_neighbor,gamma_base_calc
20230917,20231009,22,-37.8349,37.8349,244.1827915965333,delaunay_dt72_bperp300,gamma_base_calc
20231009,20231031,22,47.4064,47.4064,154.05037453190707,delaunay_dt72_bperp300,gamma_base_calc
20231009,20231111,33,-96.7645,96.7645,65.77926642847652,delaunay_dt72_bperp300,gamma_base_calc
20231031,20231111,11,-144.1709,144.1709,46.94106178530031,delaunay_dt72_bperp300,gamma_base_calc
