master,slave,dt_days,bperp_m,abs_bperp_m,height_ambiguity_m,selection_class,bperp_m_source
20220623,20220828,66,4.941,4.941,118.13109292798644,delaunay_dt72_bperp300,gamma_base_calc
20220715,20220806,22,42.7125,42.7125,112.10807569742845,delaunay_dt72_bperp300,gamma_base_calc
20220806,20221011,66,148.9312,148.9312,49.43582762982581,delaunay_dt72_bperp300,gamma_base_calc
20220828,20220919,22,41.8043,41.8043,326.3314950106829,delaunay_dt72_bperp300,gamma_base_calc
20220828,20221011,44,-269.3884,269.3884,23.4809170256588,density_fill_dt72_bperp400,gamma_base_calc
20220828,20221102,66,-241.2957,241.2957,25.636268351650468,delaunay_dt72_bperp300,gamma_base_calc
20220919,20221011,22,-311.1927,311.1927,22.40359088274247,density_fill_dt72_bperp400,gamma_base_calc
20220919,20221102,44,-283.1,283.1,24.38031477027777,degree_fill_dt72_bperp300,gamma_base_calc
20221011,20221102,22,28.0927,28.0927,272.54956834865925,delaunay_dt72_bperp300,gamma_base_calc
20221011,20221205,55,-71.8975,71.8975,162.74597239475133,delaunay_dt72_bperp300,gamma_base_calc
20221102,20221205,33,-99.9902,99.9902,101.9296173891393,delaunay_dt72_bperp300,gamma_base_calc
20221102,20221227,55,-176.9047,176.9047,43.54989848608915,density_fill_dt72_bperp300,gamma_base_calc
20221205,20221227,22,-76.9145,76.9145,75.10487876213666,delaunay_dt72_bperp300,gamma_base_calc
20221227,20230220,55,193.4938,193.4938,41.71580605694104,temporal_neighbor,gamma_base_calc
20230220,20230325,33,-137.0502,137.0502,54.11418779424001,delaunay_dt72_bperp300,gamma_base_calc
20230325,20230519,55,233.4884,233.4884,27.195613642515458,degree_fill_dt72_bperp300,gamma_base_calc
20230427,20230519,22,-287.7149,287.7149,24.75682502787929,delaunay_dt72_bperp300,gamma_base_calc
20230427,20230610,44,-410.5509,410.5509,16.860555669898176,degree_fill_dt72_bperp500,gamma_base_calc
20230519,20230610,22,-122.836,122.836,52.53643286646889,delaunay_dt72_bperp300,gamma_base_calc
20230519,20230702,44,-175.0505,175.0505,35.64478134419538,density_fill_dt72_bperp300,gamma_base_calc
20230519,20230724,66,127.028,127.028,80.294037278184,delaunay_dt72_bperp300,gamma_base_calc
20230610,20230702,22,-52.2145,52.2145,106.58422164389508,delaunay_dt72_bperp300,gamma_base_calc
20230610,20230724,44,249.864,249.864,32.27784958732339,density_fill_dt72_bperp300,gamma_base_calc
20230610,20230815,66,119.4943,119.4943,85.83898169855195,delaunay_dt72_bperp300,gamma_base_calc
20230702,20230724,22,302.0785,302.0785,24.86190098434165,temporal_neighbor,gamma_base_calc
20230702,20230815,44,171.7088,171.7088,48.49741824602009,delaunay_dt72_bperp300,gamma_base_calc
20230724,20230815,22,-130.3697,130.3697,50.73284524473842,temporal_neighbor,gamma_base_calc
20230724,20230917,55,55.1316,55.1316,132.45550502727508,delaunay_dt72_bperp300,gamma_base_calc
20230815,20230917,33,185.5013,185.5013,36.74754360251375,temporal_neighbor,gamma_base_calc
20230815,20231009,55,147.6664,147.6664,43.09028077775178,density_fill_dt72_bperp300,gamma_base_calc
20230917,20231009,22,-37.8349,37.8349,244.1827915965333,delaunay_dt72_bperp300,gamma_base_calc
20230917,20231031,44,9.5715,9.5715,387.3321145808495,delaunay_dt72_bperp300,gamma_base_calc
20230917,20231111,55,-134.5994,134.5994,52.04375004915192,density_fill_dt72_bperp300,gamma_base_calc
20231009,20231031,22,47.4064,47.4064,154.05037453190707,delaunay_dt72_bperp300,gamma_base_calc
20231009,20231111,33,-96.7645,96.7645,65.77926642847652,delaunay_dt72_bperp300,gamma_base_calc
20231031,20231111,11,-144.1709,144.1709,46.94106178530031,delaunay_dt72_bperp300,gamma_base_calc
