master,slave,dt_days,bperp_m,height_ambiguity_m,status
20200525,20200616,22,,,needs_bperp
20200525,20200708,44,,,needs_bperp
20200616,20200708,22,,,needs_bperp
20200616,20200730,44,,,needs_bperp
20200708,20200730,22,,,needs_bperp
20200708,20200821,44,,,needs_bperp
20200730,20200821,22,,,needs_bperp
20200730,20200901,33,,,needs_bperp
20200821,20200901,11,,,needs_bperp
20200821,20200923,33,,,needs_bperp
20200901,20200923,22,,,needs_bperp
20200923,20201026,33,,,needs_bperp
20201026,20201117,22,,,needs_bperp
20201026,20201209,44,,,needs_bperp
20201117,20201209,22,,,needs_bperp
20201209,20210111,33,,,needs_bperp
20210111,20210224,44,,,needs_bperp
20210625,20210808,44,,,needs_bperp
20210808,20210910,33,,,needs_bperp
20210910,20211002,22,,,needs_bperp
20211002,20211104,33,,,needs_bperp
20220418,20220601,44,,,needs_bperp
20220601,20220623,22,,,needs_bperp
20220601,20220715,44,,,needs_bperp
20220623,20220715,22,,,needs_bperp
20220623,20220806,44,,,needs_bperp
20220715,20220806,22,,,needs_bperp
20220715,20220828,44,,,needs_bperp
20220806,20220828,22,,,needs_bperp
20220806,20220919,44,,,needs_bperp
20220828,20220919,22,,,needs_bperp
20220828,20221011,44,,,needs_bperp
20220919,20221011,22,,,needs_bperp
20220919,20221102,44,,,needs_bperp
20221011,20221102,22,,,needs_bperp
20221102,20221205,33,,,needs_bperp
20221205,20221227,22,,,needs_bperp
20230220,20230325,33,,,needs_bperp
20230325,20230427,33,,,needs_bperp
20230427,20230519,22,,,needs_bperp
20230427,20230610,44,,,needs_bperp
20230519,20230610,22,,,needs_bperp
20230519,20230702,44,,,needs_bperp
20230610,20230702,22,,,needs_bperp
20230610,20230724,44,,,needs_bperp
20230702,20230724,22,,,needs_bperp
20230702,20230815,44,,,needs_bperp
20230724,20230815,22,,,needs_bperp
20230815,20230917,33,,,needs_bperp
20230917,20231009,22,,,needs_bperp
20230917,20231031,44,,,needs_bperp
20231009,20231031,22,,,needs_bperp
20231009,20231111,33,,,needs_bperp
20231031,20231111,11,,,needs_bperp
