master,slave,bperp_m,dt_days
20200525,20200616,-43.5504,22
20200616,20200708,37.4208,22
20200708,20200730,-600.2727,22
20200730,20200821,96.7182,22
20200730,20200901,607.6679,33
20200821,20200901,510.9497,11
20200821,20200923,-43.8435,33
20200901,20200923,-554.7932,22
20200923,20201026,472.9154,33
20201026,20201117,95.3519,22
20201026,20201209,5.2808,44
20201117,20201209,-90.0711,22
20201209,20210111,81.0846,33
20210111,20210224,-595.4582,44
20210808,20210910,-51.3846,33
20210910,20211002,-71.9954,22
20211002,20211104,179.7682,33
20220601,20220623,-107.0582,22
20220623,20220715,-456.0911,22
20220715,20220806,42.7125,22
20220806,20220828,418.3196,22
20220828,20220919,41.8043,22
20220919,20221011,-311.1927,22
20221011,20221102,28.0927,22
20221102,20221205,-99.9902,33
20221205,20221227,-76.9145,22
20230220,20230325,-137.0502,33
20230325,20230427,521.2033,33
20230427,20230519,-287.7149,22
20230519,20230610,-122.836,22
20230610,20230702,-52.2145,22
20230702,20230724,302.0785,22
20230724,20230815,-130.3697,22
20230815,20230917,185.5013,33
20230917,20231009,-37.8349,22
20231009,20231031,47.4064,22
20231009,20231111,-96.7645,33
20231031,20231111,-144.1709,11
