master,slave,dt_days,bperp_m,height_ambiguity_m,status,baseline_note
20200525,20200616,22,-55.56688173498951,129.3636430416089,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200525,20200708,44,-25.37181308082164,283.3196914545333,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200616,20200708,22,-32.07287574926233,224.14713071788972,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200616,20200730,44,-570.4303062619996,12.602842089821573,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200708,20200730,22,-602.0969100012313,11.939610679556354,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200708,20200821,44,-494.8311530513011,14.527789231639769,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200730,20200821,22,107.47943828592423,66.96625599361896,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200730,20200901,33,621.5394155598183,11.580111249779412,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200821,20200901,11,514.3695923746699,13.9909605361268,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200821,20200923,33,32.20475593301028,223.46154968127257,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200901,20200923,22,-545.8034779058722,13.17016039391566,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20200923,20201026,33,497.68102083885543,14.460095859885202,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20201026,20201117,22,-91.5941047721249,78.48962001711857,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20201026,20201209,44,-17.839172631086456,402.99999490135474,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20201117,20201209,22,107.5507277905415,66.83485032479511,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20201209,20210111,33,-60.313228070726524,119.19354003169411,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20210111,20210224,44,-599.6792692357668,11.987027635870037,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20210625,20210808,44,48.103921351171785,149.43566599348583,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20210808,20210910,33,66.99735392708837,107.29218230431131,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20210910,20211002,22,-73.02361633503803,98.45228139753694,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20211002,20211104,33,182.33851096159796,39.42861785963901,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220418,20220601,44,478.98428422229097,15.019245515601561,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220601,20220623,22,-102.17947312960034,70.34595843129065,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220601,20220715,44,-556.1859987679135,12.923577697441164,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220623,20220715,22,-453.9896674943888,15.835485236109362,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220623,20220806,44,-391.23660674694275,18.37544481517199,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220715,20220806,22,64.18153695339839,112.10807569742843,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220715,20220828,44,514.1151964141112,13.995440425287914,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220806,20220828,22,451.574421393926,15.93135631932387,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220806,20220919,44,465.79637275385545,15.444931375025602,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220828,20220919,22,22.02972278887189,326.3314950106829,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220828,20221011,44,-306.16318623790096,23.480917025658798,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220919,20221011,22,-320.86897995107086,22.40359088274247,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20220919,20221102,44,-294.8533446561725,24.380314770277778,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20221011,20221102,22,26.389572926650406,272.54956834865925,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20221102,20221205,33,-70.55818454003634,101.9296173891393,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20221205,20221227,22,95.76943874114083,75.10487876213666,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230220,20230325,33,-132.9104675573406,54.11418779424001,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230325,20230427,33,554.1186714187013,12.981759633515896,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230427,20230519,22,-290.32121658658366,24.756825027879295,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230427,20230610,44,-426.286754815982,16.860555669898176,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230519,20230610,22,136.88401083189035,52.53643286646889,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230519,20230702,44,-201.75176770255882,35.64478134419538,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230610,20230702,22,-67.47827100080764,106.58422164389508,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230610,20230724,44,222.81902556858958,32.27784958732339,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230702,20230724,22,289.31501631252127,24.86190098434165,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230702,20230815,44,148.31555057954813,48.49741824602009,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
20230724,20230815,22,-141.6934527453537,50.73284524473842,approx_from_par_state_vectors,Approximate center-scene Bperp from RSLC par state vectors; replace with GAMMA baseline for final inversion.
