date,start_hhmmss,mission_data_take,order_id,polarisation,zip_path,zip_size_bytes,zip_sha256,measurement_member,measurement_size_bytes,measurement_crc32,manifest_member,annotation_member,calibration_member,sensing_start,sensing_stop,pass,mode,swath,platform_heading_deg,range_sampling_rate_hz,radar_frequency_hz,range_pixel_spacing_m,azimuth_pixel_spacing_m,azimuth_time_interval_s,number_of_samples,number_of_lines,mid_swath_incidence_deg,bbox_west,bbox_south,bbox_east,bbox_north,paper_center_intersects,footprint_lonlat,logical_duplicate_count,logical_preferred,selected_center_segment
20231007,032017,001489,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-001489/BC3-SM-SLC-1SVV-20231007T032017-001489-000017-0005D1.zip,668090025,d105aa45d131c3283934cf818594e603b8ff7c5b83593e0f4c7aac2a7eb00a7d,BC3-SM-SLC-1SVV-20231007T032017-001489-000017-0005D1/measurement/bc3-sm-slc-vv-20231007t032017-001489-000017-0005d1-01.tiff,697034339,b799768b,BC3-SM-SLC-1SVV-20231007T032017-001489-000017-0005D1/manifest.safe,BC3-SM-SLC-1SVV-20231007T032017-001489-000017-0005D1/annotation/bc3-sm-slc-vv-20231007t032017-001489-000017-0005d1-01.xml,BC3-SM-SLC-1SVV-20231007T032017-001489-000017-0005D1/annotation/calibration/calibration-bc3-sm-slc-vv-20231007t032017-001489-000017-0005d1-01.xml,2023-10-07T03:20:17.258977,2023-10-07T03:20:20.649293,DESCENDING,S1,S1,167.5293,120000000.0,5400000100.0,1.249135241667,1.790613058378,0.0002418,12426,14022,37.6208,117.003,39.1027,117.36,39.3729,True,"[[117.0749, 39.3729], [117.36, 39.3131], [117.003, 39.1623], [117.2872, 39.1027]]",2,True,True
20231007,032020,001489,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-001489/BC3-SM-SLC-1SVV-20231007T032020-001489-000017-0005D1.zip,665415239,0a752007ea409520b1d6ed93822689ff70d21fa451d9ddcdbbe532dd8621208e,BC3-SM-SLC-1SVV-20231007T032020-001489-000017-0005D1/measurement/bc3-sm-slc-vv-20231007t032020-001489-000017-0005d1-01.tiff,697034339,932142a0,BC3-SM-SLC-1SVV-20231007T032020-001489-000017-0005D1/manifest.safe,BC3-SM-SLC-1SVV-20231007T032020-001489-000017-0005D1/annotation/bc3-sm-slc-vv-20231007t032020-001489-000017-0005d1-01.xml,BC3-SM-SLC-1SVV-20231007T032020-001489-000017-0005D1/annotation/calibration/calibration-bc3-sm-slc-vv-20231007t032020-001489-000017-0005d1-01.xml,2023-10-07T03:20:20.398781,2023-10-07T03:20:23.789097,DESCENDING,S1,S1,167.5293,120000000.0,5400000100.0,1.249135241667,1.790613058378,0.0002418,12426,14022,37.6208,116.9368,38.9078,117.2926,39.1778,True,"[[117.0083, 39.1778], [117.2926, 39.1183], [116.9368, 38.9672], [117.2202, 38.9078]]",2,True,True
20231029,031953,001892,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-001892/BC3-SM-SLC-1SVV-20231029T031953-001892-000017-000764.zip,667308369,a5572d1760091be2db3fa7db2ebfdaa38d272b272cafe234d96c1bbbce3e850b,BC3-SM-SLC-1SVV-20231029T031953-001892-000017-000764/measurement/bc3-sm-slc-vv-20231029t031953-001892-000017-000764-01.tiff,697034339,ac5b9d99,BC3-SM-SLC-1SVV-20231029T031953-001892-000017-000764/manifest.safe,BC3-SM-SLC-1SVV-20231029T031953-001892-000017-000764/annotation/bc3-sm-slc-vv-20231029t031953-001892-000017-000764-01.xml,BC3-SM-SLC-1SVV-20231029T031953-001892-000017-000764/annotation/calibration/calibration-bc3-sm-slc-vv-20231029t031953-001892-000017-000764-01.xml,2023-10-29T03:19:53.254300,2023-10-29T03:19:56.644605,DESCENDING,S1,S1,167.5289,120000000.0,5400000100.0,1.249135241667,1.790597897002,0.0002418,12426,14022,37.6147,117.0023,39.1021,117.3593,39.3722,True,"[[117.0742, 39.3722], [117.3593, 39.3125], [117.0023, 39.1617], [117.2865, 39.1021]]",2,True,True
20231029,031956,001892,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-001892/BC3-SM-SLC-1SVV-20231029T031956-001892-000017-000764.zip,664147016,c3e70bb4fd2739fffbe67e49b86d918032c8f918ad4e28abb294e181dca99e58,BC3-SM-SLC-1SVV-20231029T031956-001892-000017-000764/measurement/bc3-sm-slc-vv-20231029t031956-001892-000017-000764-01.tiff,697034339,3be51973,BC3-SM-SLC-1SVV-20231029T031956-001892-000017-000764/manifest.safe,BC3-SM-SLC-1SVV-20231029T031956-001892-000017-000764/annotation/bc3-sm-slc-vv-20231029t031956-001892-000017-000764-01.xml,BC3-SM-SLC-1SVV-20231029T031956-001892-000017-000764/annotation/calibration/calibration-bc3-sm-slc-vv-20231029t031956-001892-000017-000764-01.xml,2023-10-29T03:19:56.394104,2023-10-29T03:19:59.784409,DESCENDING,S1,S1,167.5289,120000000.0,5400000100.0,1.249135241667,1.790597897002,0.0002418,12426,14022,37.6147,116.9361,38.9072,117.2919,39.1772,True,"[[117.0076, 39.1772], [117.2919, 39.1176], [116.9361, 38.9666], [117.2195, 38.9072]]",2,True,True
20231109,031941,002102,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-002102/BC3-SM-SLC-1SVV-20231109T031941-002102-000017-000836.zip,668691352,e83186be5e556a7f146fcec1a9646f6ba81747b844025a52062069ff2bb7e0d9,BC3-SM-SLC-1SVV-20231109T031941-002102-000017-000836/measurement/bc3-sm-slc-vv-20231109t031941-002102-000017-000836-01.tiff,697034339,e66f21f6,BC3-SM-SLC-1SVV-20231109T031941-002102-000017-000836/manifest.safe,BC3-SM-SLC-1SVV-20231109T031941-002102-000017-000836/annotation/bc3-sm-slc-vv-20231109t031941-002102-000017-000836-01.xml,BC3-SM-SLC-1SVV-20231109T031941-002102-000017-000836/annotation/calibration/calibration-bc3-sm-slc-vv-20231109t031941-002102-000017-000836-01.xml,2023-11-09T03:19:41.189097,2023-11-09T03:19:44.579402,DESCENDING,S1,S1,167.5291,120000000.0,5400000100.0,1.249135241667,1.790603060944,0.0002418,12426,14022,37.618,117.002,39.1022,117.359,39.3724,True,"[[117.0739, 39.3724], [117.359, 39.3127], [117.002, 39.1618], [117.2862, 39.1022]]",1,True,True
20231109,031944,002102,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-002102/BC3-SM-SLC-1SVV-20231109T031944-002102-000017-000836.zip,660845649,836d4fb8551b25ea98bf3fe97016545fbb11f44414309d204c2d4ed0acae9cba,BC3-SM-SLC-1SVV-20231109T031944-002102-000017-000836/measurement/bc3-sm-slc-vv-20231109t031944-002102-000017-000836-01.tiff,697034339,40ea4a11,BC3-SM-SLC-1SVV-20231109T031944-002102-000017-000836/manifest.safe,BC3-SM-SLC-1SVV-20231109T031944-002102-000017-000836/annotation/bc3-sm-slc-vv-20231109t031944-002102-000017-000836-01.xml,BC3-SM-SLC-1SVV-20231109T031944-002102-000017-000836/annotation/calibration/calibration-bc3-sm-slc-vv-20231109t031944-002102-000017-000836-01.xml,2023-11-09T03:19:44.328901,2023-11-09T03:19:47.719196,DESCENDING,S1,S1,167.5291,120000000.0,5400000100.0,1.249135241667,1.790603060944,0.0002418,12426,14022,37.618,116.9358,38.9073,117.2916,39.1774,True,"[[117.0073, 39.1774], [117.2916, 39.1178], [116.9358, 38.9667], [117.2192, 38.9073]]",1,True,True
20231120,031928,002390,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-002390/BC3-SM-SLC-1SVV-20231120T031928-002390-000017-000956.zip,664025796,151d44cb0b5875f316c5e6ced42a21c6bfbd77585e42153d1a5bfdbc51a8c19c,BC3-SM-SLC-1SVV-20231120T031928-002390-000017-000956/measurement/bc3-sm-slc-vv-20231120t031928-002390-000017-000956-01.tiff,697034339,f1c1400a,BC3-SM-SLC-1SVV-20231120T031928-002390-000017-000956/manifest.safe,BC3-SM-SLC-1SVV-20231120T031928-002390-000017-000956/annotation/bc3-sm-slc-vv-20231120t031928-002390-000017-000956-01.xml,BC3-SM-SLC-1SVV-20231120T031928-002390-000017-000956/annotation/calibration/calibration-bc3-sm-slc-vv-20231120t031928-002390-000017-000956-01.xml,2023-11-20T03:19:28.782455,2023-11-20T03:19:32.172760,DESCENDING,S1,S1,167.5261,120000000.0,5400000100.0,1.249135241667,1.790594316947,0.0002418,12426,14022,37.6141,117.0019,39.1022,117.3589,39.3723,True,"[[117.0738, 39.3723], [117.3589, 39.3126], [117.0019, 39.1617], [117.2861, 39.1022]]",1,True,True
20231120,031931,002390,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-002390/BC3-SM-SLC-1SVV-20231120T031931-002390-000017-000956.zip,661984208,c16917cf24c1a77a62a8ac6af0c43cade359e9a0d739d7a767aeb998d7ae84d7,BC3-SM-SLC-1SVV-20231120T031931-002390-000017-000956/measurement/bc3-sm-slc-vv-20231120t031931-002390-000017-000956-01.tiff,697034339,a413be46,BC3-SM-SLC-1SVV-20231120T031931-002390-000017-000956/manifest.safe,BC3-SM-SLC-1SVV-20231120T031931-002390-000017-000956/annotation/bc3-sm-slc-vv-20231120t031931-002390-000017-000956-01.xml,BC3-SM-SLC-1SVV-20231120T031931-002390-000017-000956/annotation/calibration/calibration-bc3-sm-slc-vv-20231120t031931-002390-000017-000956-01.xml,2023-11-20T03:19:31.922249,2023-11-20T03:19:35.312564,DESCENDING,S1,S1,167.5261,120000000.0,5400000100.0,1.249135241667,1.790594316947,0.0002418,12426,14022,37.6141,116.9357,38.9073,117.2915,39.1773,True,"[[117.0072, 39.1773], [117.2915, 39.1177], [116.9357, 38.9667], [117.2192, 38.9073]]",1,True,True
20231201,031916,002643,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-002643/BC3-SM-SLC-1SVV-20231201T031916-002643-000017-000A53.zip,661120230,a41e3aa2dfe62db021a795f1049b91173ccc2a02ec35ddeff66b40e129548a73,BC3-SM-SLC-1SVV-20231201T031916-002643-000017-000A53/measurement/bc3-sm-slc-vv-20231201t031916-002643-000017-000a53-01.tiff,697034339,015a2455,BC3-SM-SLC-1SVV-20231201T031916-002643-000017-000A53/manifest.safe,BC3-SM-SLC-1SVV-20231201T031916-002643-000017-000A53/annotation/bc3-sm-slc-vv-20231201t031916-002643-000017-000a53-01.xml,BC3-SM-SLC-1SVV-20231201T031916-002643-000017-000A53/annotation/calibration/calibration-bc3-sm-slc-vv-20231201t031916-002643-000017-000a53-01.xml,2023-12-01T03:19:16.825710,2023-12-01T03:19:20.216016,DESCENDING,S1,S1,167.5254,120000000.0,5400000100.0,1.249135241667,1.790597334255,0.0002418,12426,14022,37.6158,117.0024,39.1023,117.3593,39.3725,True,"[[117.0743, 39.3725], [117.3593, 39.3128], [117.0024, 39.1619], [117.2866, 39.1023]]",1,True,True
20231201,031919,002643,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-002643/BC3-SM-SLC-1SVV-20231201T031919-002643-000017-000A53.zip,659514177,dde750029be7a7562434e080048a6166d138f8110881c7a2e0cf1f16fcd004ea,BC3-SM-SLC-1SVV-20231201T031919-002643-000017-000A53/measurement/bc3-sm-slc-vv-20231201t031919-002643-000017-000a53-01.tiff,697034339,0619f9c1,BC3-SM-SLC-1SVV-20231201T031919-002643-000017-000A53/manifest.safe,BC3-SM-SLC-1SVV-20231201T031919-002643-000017-000A53/annotation/bc3-sm-slc-vv-20231201t031919-002643-000017-000a53-01.xml,BC3-SM-SLC-1SVV-20231201T031919-002643-000017-000A53/annotation/calibration/calibration-bc3-sm-slc-vv-20231201t031919-002643-000017-000a53-01.xml,2023-12-01T03:19:19.965504,2023-12-01T03:19:23.355810,DESCENDING,S1,S1,167.5254,120000000.0,5400000100.0,1.249135241667,1.790597334255,0.0002418,12426,14022,37.6158,116.9362,38.9074,117.292,39.1775,True,"[[117.0077, 39.1775], [117.292, 39.1179], [116.9362, 38.9668], [117.2196, 38.9074]]",1,True,True
