building_uid,island_label,selected_pixel_count,iqr_retained_pixel_count,insar_height_m,insar_height_iqr_m,median_velocity_m_per_year,median_phase_rms_rad,median_height_sigma_m
19357,150,26,26,230.47134120544354,4.498949644647155,-0.0036128756910419934,1.595125567143762,4.996885510908582
38758,4,1,1,211.71814277603013,0.0,0.03673005992943554,1.4350252078283012,4.725680760538962
51702,55,5,4,278.6318893962566,1.1871568842983606,-0.06302028767571433,1.3243954971470333,5.222406699746291
51817,86,89,67,344.7767129387218,6.807697721893078,-0.06051764343766556,1.3865854871458034,4.890212477448738
55623,47,19,18,364.90802204567336,10.051556371338393,-0.0565217210729201,1.450501908239246,5.503744616764173
57555,88,4,4,318.04366100670836,183.2957914501803,-0.003649006221870175,1.5132366662987509,5.426862978984953
59229,50,2,2,67.57394763533202,18.595185057003462,-0.07818579837506724,1.5336922613866566,6.326897801255468
59232,58,59,59,241.30950493530827,430.6093448417748,-0.06564323941962286,1.4999396860103384,6.229370979885368
59259,66,1,1,147.19547703644432,0.0,0.13695929710651703,1.3894179187866182,5.49399425685825
59677,132,159,138,341.21894686325174,8.273468665696669,-0.05220553471759816,1.406494470841258,5.246708358746578
61760,128,2,2,204.71467080590787,0.4931728188594491,0.016901602539197914,1.6306086884047106,6.054699432172425
63247,37,4,4,335.87850275911603,4.552970522805197,-0.06874366387847468,1.4100814590057895,5.219867212807762
63300,76,1,1,-115.60809911679051,0.0,-0.17937561819432263,1.4016630628903162,5.469842265858959
63385,84,109,109,344.6911964555904,448.1726774855447,-0.056490050900464966,1.381648672864737,5.3859287153054085
65194,23,18,17,227.66605872950106,48.22468203216047,0.02888546301497923,1.5617776955440728,5.442466094976284
65286,51,45,36,389.1821398097847,45.93397160284894,0.009515271629325318,1.513830796587814,4.917304789084583
65288,40,10,10,237.7844757159187,368.65012865362047,-0.05709362631640502,1.4098654808984807,5.425062360748062
65289,44,5,5,391.51608654268614,49.4212260494416,0.008134343410267612,1.4912947175165654,5.769377945249121
65296,69,31,31,219.4937374248323,429.17408202873156,-0.05922268776422475,1.4532614915922597,5.264968847176777
65297,61,18,18,-79.98231266489928,22.427580358543096,-0.18596314281674814,1.3703354197652566,4.6013842136590135
65304,64,85,58,206.5407349061316,9.956621661479033,0.014540909927722997,1.6008498073415618,5.5159767122210885
65311,72,59,49,182.9329472298127,13.15193531220774,0.06008691434475637,1.4436431463654613,5.256907593384896
65312,75,22,21,174.6389316757227,113.30519110006514,0.05373231184781215,1.4393538319239598,5.3886976019473005
65716,113,4,4,259.2086702690986,152.5624964172,-0.028933102808587872,1.394496583286775,5.27732220431971
67458,10,21,17,361.28674080906717,1.2771861696768951,-0.04953217060109195,1.358504216378593,4.572207456604299
67485,16,2,2,240.43359564919507,3.0841509015091333,0.017927750027998117,1.5681224079719818,5.237736642533146
67634,46,1,1,-71.9207027765096,0.0,0.004468222138885383,1.6244075756474312,5.556153623037496
67651,52,42,40,271.03290204188045,8.424422579443842,0.01936863201319889,1.5241976741320216,5.432658166586417
67652,57,28,28,237.74206445539588,377.4485451600815,0.005562178216579064,1.5739932086015176,6.254192960690541
67653,56,3,3,381.4027075691853,0.9985586248308209,-0.02457046378071943,1.4354593535482603,5.3003441291388445
67654,53,14,14,235.30120976072038,23.826627959419483,0.019339594131004993,1.5485438238378681,5.938493424516322
67655,59,35,35,372.2262079115834,172.13737002054808,0.00677028611388456,1.6118782269323118,5.389347841199511
67656,62,28,28,361.3929605203055,222.67044337626348,-0.03636848199335288,1.4356062806638747,5.539737218204699
67955,102,57,57,317.878851664661,116.22536480670763,-0.05849345078623352,1.5181676949671994,5.352319239683422
67957,103,8,8,273.7252779544464,325.80541827445177,-0.06528791537901746,1.4618642370392783,5.939614924112289
67960,104,3,3,72.94776071674954,149.24987626561875,0.15754996662596055,1.4720386245552652,6.559538832221635
70031,17,73,64,245.63040251208764,29.57029727646966,0.026656222947145196,1.5394874191191286,5.640660861980601
70032,16,18,18,220.50744279083025,100.52640693560329,0.017209466316875366,1.5680936673383323,5.6868484201009455
70040,18,40,38,259.2352818530524,4.5036697304386735,0.019422115215274025,1.485848703775237,4.846512529192997
70203,77,26,26,305.95111695495495,111.03909313985395,-0.04563377394869174,1.3868120408480848,4.837588947130779
70451,105,3,3,219.7368249302907,1.4488910564057278,0.011240829992651878,1.6024645742766872,6.1290997731163595
70455,104,1,1,222.49277259498803,0.0,0.015371869814282369,1.5777215849553947,6.473869284181477
70479,106,3,3,326.6403331779935,71.54838677958043,-0.06187701599056244,1.21410960711304,4.759667929176599
70642,115,54,54,228.60465755484762,449.5701678219328,-0.029631751783573773,1.4092647559111318,5.559130628185127
74957,22,11,11,292.1065177611688,121.87852629276108,-0.05451092379222211,1.3736238003363015,5.509951232331484
74959,21,45,45,36.40934085517382,54.80065562484922,-0.04479886113737226,1.5522113883791864,4.659529536253405
74960,19,3,3,7.600122771353055,0.7753349581943461,-0.06762252178836554,1.5077437672323657,5.071631256307081
74975,26,41,37,-21.52913759770311,3.9752978303137176,-0.16999334108023306,1.2316801933629047,3.7025807413284584
