building_uid,island_label,selected_pixel_count,iqr_retained_pixel_count,insar_height_above_anchor_m,insar_height_iqr_m,median_velocity_m_per_year,median_phase_residual_rms_rad,median_height_sigma_m
19357,1,314,314,-20.618754537056304,26.416633331328285,-0.0011684647267045467,0.41592208657987906,1.2216789542011126
38755,2,71,58,-9.042306014982488,3.228716968328194,0.020657641295590473,3.359565589623511,9.774808828762236
38756,3,109,96,4.992535556305409,5.203008661508263,-0.016804729425311124,3.224290433372996,2.4748352655192054
38757,4,49,49,-1.124819166595918,5.662140111706957,-0.010796197818779966,1.9552538131619672,2.8553195625321677
38758,5,60,58,-5.225237466997619,4.67244588110308,0.013833905629692368,3.223500918813846,7.3681115856932955
38759,6,48,47,-1.5140863596425331,6.24583713934083,0.008763193251799003,3.9490351669198303,13.067254167432491
38760,7,93,93,-14.741132740764645,10.651596398859272,0.005689710140654756,2.3646293864838492,6.973581825246566
51702,8,62,59,-66.29437549493608,6.754445893818328,0.01568693746625264,4.007563059746978,11.728117256851402
51703,9,27,27,-32.94373136761632,9.21017160969312,-0.021436682673033145,2.812326476019958,4.996637531218589
51817,10,209,209,-25.150742495599427,14.505629007619287,-0.015651212493008403,3.1647646804527123,11.451938030622511
55623,11,79,74,-26.244391652442893,5.801837475380658,0.018267865843601495,3.0923879914700922,10.48521325722755
57555,12,120,103,-79.32645191367186,14.562602303688834,-0.02956364062040649,3.0539988480192353,10.810942454716983
57581,13,8,8,-29.76969103129203,35.128516526233916,-0.005674274074289779,2.5015821074888267,7.095638242752617
57583,14,81,51,-58.995107858462305,2.8756113289560616,0.0006988699883289512,2.8325019629600385,3.949967200836475
59096,15,6,5,-13.175546590490946,1.8310180016045745,-0.005808906206122235,3.090109813548259,3.4088371100705346
59097,16,6,6,-32.352241144792345,4.546022379748713,0.015265532041120874,3.996101354835966,14.860765810365375
59229,18,10,8,-48.09265100344179,2.4111521397240097,0.017654913172211562,2.342650983031235,6.942447283562503
59230,19,35,35,-7.140542237116194,15.165935491732544,0.05820212633358842,3.783840835075091,11.926182650362632
59232,21,573,573,-0.3334018365312146,21.25493461437921,0.0007470960060707684,0.359430990491753,1.2026208059763264
59259,22,127,127,-20.072296581261853,33.89460199016985,0.03157599214438076,2.539443732304594,9.495179589302463
59260,23,50,50,1.9080723394765626,8.020596391057252,0.012290308089887804,2.3766818288919254,8.620061071838245
59431,25,82,82,-22.476823885459673,28.48512035376507,0.017665112596747336,2.8793658064333347,8.95505707495051
59444,26,55,43,-14.358463406315236,1.7565524304855984,0.006302867527394713,2.435507051750962,6.27625861672156
59677,27,503,499,-55.48462088321799,26.918394200357135,-0.0032688921040423956,2.002225617011591,7.095437205258864
61236,28,2,2,-57.50143354068304,0.972336262372238,-0.009783830350516968,4.725002238011256,15.936121518115222
61237,29,10,8,-49.31860381991851,1.269285212841396,-0.011714877853289545,3.432203228637201,12.82216346901582
61760,30,71,54,-6.405235154059876,4.589325663797709,0.003531844056257229,2.5791167366641865,8.920416135918297
63246,31,7,7,-10.45997176873788,7.2318407967244696,0.008705229564160531,3.5097726203269097,12.602255766764506
63247,32,11,11,-25.686678341350476,18.316621323064,0.015562315852960416,3.3113844103830328,12.375030038915046
63248,33,17,17,-33.358739753271486,6.76210087976898,0.02916305854905622,3.2968323658377554,11.614477083369561
63249,34,10,10,-28.863356765924244,6.346366188249629,-0.006862175432852056,3.9314389623634223,14.633485094082342
63250,35,11,11,-18.32089947960072,2.5384053877027313,0.00881417316224088,3.545560923372813,11.887527582306454
63251,36,11,11,-19.33174025948644,2.312233474980701,0.019101759332037577,3.445735136503716,10.508087868722294
63299,37,11,11,-60.570107891176846,47.35884564327634,-0.016119314276383537,3.837860896124239,14.161307282643628
63300,38,25,21,-39.43031601790439,8.17227859935376,0.012093437066319948,3.192514938395477,12.234637013445663
63348,39,49,46,-38.944915075904746,10.185650734446988,0.005998315082974046,5.126595832329807,19.722267059189537
63385,40,166,166,19.584017581287718,23.023181546500734,-0.013235325298839482,2.302959499431915,5.599180253596749
63386,41,9,9,0.4980883248553843,11.408220087983386,-0.009098316359743083,1.1088840864155374,3.1769106778407123
65171,42,15,12,-1.7934991579904507,1.2142235489466988,0.0031385030114323346,0.6658281853562792,1.4661179299050222
65193,44,104,104,-10.352747946179608,39.44215110092338,-0.0012927176439169908,2.1469860006024675,1.8561632080674277
65194,45,44,43,-22.721998400567088,7.679734374570732,0.01641235681353463,2.277523896980235,7.793361264719179
65282,46,123,123,-60.432574368649945,39.602381136202034,0.03360919575195394,4.16267182525583,14.444634205163762
65283,47,103,103,-63.01557044322104,31.17056912324245,0.0575438898439416,3.6421876267950823,12.907790348961552
65284,48,56,56,-84.4789739753592,21.288278302490696,0.04471064836546567,3.898875995059126,12.669473682272084
65285,49,95,95,-53.759401468222585,31.432196653829095,0.018211716934029842,4.497047732353403,14.747250200540883
65286,50,76,73,6.264948735628457,3.5179364686770613,-0.04152505993572691,2.642606796168689,8.83929512322058
65288,52,12,8,-0.8920085845193542,0.5507668136531243,0.000347470456532592,0.37424178628458044,1.212430975266606
65289,53,27,27,-7.180146961800975,6.36597285211359,0.018029029566750388,2.754333677326243,7.229996952740616
65296,54,177,171,-13.232655658036208,25.575897139576565,0.022092041023462895,2.467581432790271,8.607776352576586
65297,55,308,308,-22.664143894931364,39.313157835146406,-0.0003732416063952289,2.3167396695038542,7.083113583097131
65298,56,91,69,-33.42947967646219,12.774330652749946,0.0006438049176439461,3.389934636430753,12.083340266217347
65299,57,140,140,-77.54687926173526,62.444940270898556,0.014005828652040211,3.5492641588897254,12.879791859401934
65300,58,92,87,-41.20991541074281,17.9137329858387,0.014390906597624448,4.679391058235634,17.10242782232273
65301,59,27,27,-34.02551012381833,32.188414694113256,0.02506686825092242,5.201987821833228,18.43168698455689
65304,60,206,184,-2.445198740401263,14.453010028950795,0.0035435131205118144,2.4210958520484995,1.6976080302420464
65311,61,381,381,-67.17640181681648,36.480968335478714,0.024088648424118994,2.6650097483477944,8.24366156014961
65312,62,245,245,-76.1484199468394,40.66334995458966,0.018424248452884345,3.468924903836279,11.811695701591777
65313,63,18,14,-67.66400848193939,10.924728101451407,-0.017267072825307726,3.3611807899022255,13.152330354708678
65314,64,170,168,-57.52265648355879,21.957863169833487,0.004790584215046251,5.115686443077459,18.512721657038817
65500,65,184,184,21.412331071051234,26.391124809066323,-0.013057477637468371,2.851377111504413,2.1768530519078055
65547,66,292,292,-13.832532514157778,29.792112201483206,-0.015151514642131863,2.2757599798576393,7.987106241892819
65548,67,338,338,-4.363256414967111,23.386864045662,0.02400109534416761,1.775809802804669,6.755525091856508
65692,68,14,14,-13.551803334623036,4.519950923036845,-0.021216495305347652,2.083688130298582,6.666774428371225
65716,69,24,22,-36.61246885118021,2.862583690600559,0.008085994913445242,2.090144351700288,2.7362059421031106
65717,70,4,3,-23.459715237016653,0.6347345862704223,-0.012102613852310096,1.8418258892793298,6.1667882266670935
67458,71,57,57,-14.505835715529141,19.608994774113878,-0.001660119262926121,3.181744169418,11.085673532434061
67485,72,95,92,-45.69336657362041,11.805742841591794,0.025858440825214025,3.256440834070422,11.52940073962997
67549,73,15,15,-4.578618669716099,3.3216679378789005,0.007389573003401699,4.041304723163685,3.2150364536608853
67634,74,128,128,-48.71312251617371,49.83695063978731,0.05575764645873442,4.042200370078518,13.929706810914553
67635,75,93,93,-47.94714731495138,29.442343188409176,0.03188175482692777,3.5409951657797083,12.847562485482761
67651,76,101,101,-46.517724576680834,38.702337208761946,0.003576067371638445,3.141270664693358,10.441240763942425
67652,77,165,165,-76.6616958894462,42.22137827920888,-0.006865807523705548,1.8130343966703804,4.754768667510549
67653,78,157,145,-12.08214828806203,11.90454099560718,-0.008480374162735433,2.6205326399857936,8.057688222401907
67654,79,115,115,-15.699118743191164,43.4744133131133,0.024939168579249955,3.4837265033334095,12.491022551060619
67655,80,165,165,-19.621585120150737,40.4644547876034,0.01666361098942927,2.2197153577634228,6.342182511245205
67656,81,107,107,-53.604796362154815,29.35974779081321,0.008232058218733745,2.7272931319713813,10.273102421388852
67955,82,247,226,0.8497429739360025,13.262691527600172,-0.0070200097289839355,1.9005410584299434,5.803047415881554
67956,83,301,301,-40.05822183047326,43.54125995492579,-0.02710049908089164,3.4014473118916992,12.269236728052547
67957,84,90,90,-39.49654736083254,33.00518029554486,-0.021169628175567678,2.7967870686358673,9.407440747957928
67958,85,134,101,-47.6670856449243,4.950558404605864,0.0171963611344789,2.920221773897066,10.687376126555405
67960,86,144,123,-0.10696416208353886,4.437783227283115,0.000719614926172009,2.0530671430426497,1.5286173369348648
68091,87,24,22,-2.6814746144522967,2.2448174265781837,0.002158140313855678,0.39805762018275237,1.3063629066076836
70031,88,299,299,-34.598263546321675,28.1459966141198,-0.011716655371705569,2.2666909394132477,7.499962440902975
70032,89,148,147,-13.148300956741567,19.962079587145052,-0.0025732203488180285,2.487561499166735,3.2392721687752926
70040,90,218,218,3.724379675453866,25.209492501720206,-0.015886147524856273,2.651873052750786,5.415499166147557
70203,91,234,234,-57.89661431454367,40.02640181404463,0.0037710254189494506,3.1149526655553377,11.24285964552179
70450,92,3,3,0.7315184108291148,4.826584208982722,0.0023590400377525127,3.931125901693399,14.555576450573518
70453,94,58,56,-11.400533982815844,7.659667936769606,-0.04318755365115262,3.6127495291310376,9.775944132961207
70454,95,25,25,-22.76451527360058,2.198344628030867,-0.05291696024994135,3.8844706306262484,13.504167631848052
70455,96,91,79,1.133655161030452,3.420994632830491,0.00027373541567831506,1.2129842044775565,0.8233626466327963
70477,97,10,8,2.8089821576777547,2.809252715865106,0.05045814124514364,4.27830913577073,14.068588251189752
70478,98,8,8,12.451206690880001,7.057009195484689,0.014775401380497013,2.612416019959409,6.889804369513962
70479,99,10,10,-39.858936776820244,14.415407452524992,0.03018788059439359,5.082603581266124,16.328523169033758
70601,100,2,2,0.3148657710560103,1.530106744282386,-0.038865767358847496,2.9748675377709795,10.66885407325419
70642,101,116,115,-5.371208594673274,28.19644515732635,0.0031049057704357866,2.2624322673107002,8.601324222687047
74956,103,98,98,-41.22924520038756,24.478923061152116,-0.0018476084230897804,2.9715622756174644,8.92103000913869
74957,104,18,17,-1.661118231631155,6.805768837586447,-0.018119202753689848,2.4895230781213353,8.635237571370673
74958,105,24,23,6.265100153459949,6.378319698937911,0.023371472782592464,2.6892748154114177,6.537667240921744
74959,106,150,150,-48.75954565761998,74.95054216981423,0.010621866489065643,3.100595531854492,10.399670335195683
74960,107,76,74,-21.299795582377794,17.37487821518907,-0.04384240348202001,3.88006807851942,13.212023094707234
74975,108,118,118,-21.35713137759261,27.578865694094713,0.028523843572138614,3.456609925675891,7.100844352108975
74976,109,90,89,-33.37290400236753,5.2363859678187055,0.004741387328311684,4.121924565101803,14.099824861275582
74977,110,104,101,6.164511958153872,5.946137655043767,0.0006924843088143494,5.412038502352122,14.457584587544295
74978,111,102,92,9.756709189582034,4.697467821324787,0.010515559053902234,2.710203994224159,2.2423023393545662
74979,112,58,58,-1.973986642147732,4.002703722186402,0.0021142203901033255,2.34252049307052,6.633498744118993
