building_uid,Floor,recommended_building_height_m,paper_text_median_m,original_code_range_m,quality_pass,floor_nominal_3m_audit_only,recommended_minus_nominal_m
19357,31,36.52419357299804,45.663909912109375,59.027082443237305,True,93.0,-56.47580642700196
38755,40,27.927993595600128,5.167840480804443,32.630122035741806,True,120.0,-92.07200640439987
38756,40,16.37051101326942,-10.207096099853516,25.510000705718994,True,120.0,-103.62948898673058
38757,40,13.561497592926017,11.995258331298828,19.93318247795105,False,120.0,-106.43850240707398
38758,40,8.899888479709622,-0.4177497923374176,16.683341026306152,True,120.0,-111.10011152029038
38759,40,11.95790160205215,5.40430474281311,18.325635612010956,True,120.0,-108.04209839794785
38760,40,14.977333426475525,5.624614715576172,23.4250066280365,True,120.0,-105.02266657352448
51702,34,44.81382269859313,2.18564510345459,112.49191284179688,False,102.0,-57.18617730140687
51703,34,47.608076858520505,10.674541473388672,48.97558403015137,True,102.0,-54.391923141479495
51817,31,20.122955894470216,6.00295877456665,28.135762214660645,True,93.0,-72.87704410552979
55623,43,25.46184616088867,12.01995849609375,34.04239463806152,True,129.0,-103.53815383911133
57555,44,65.3260850906372,-13.72839069366455,74.27748489379883,True,132.0,-66.6739149093628
57581,37,45.22012782692909,4.426092714071274,48.500186920166016,True,111.0,-65.77987217307091
57583,41,64.68965137004852,24.460582733154297,77.99094551801682,True,123.0,-58.31034862995148
59096,32,8.003674268722534,21.325719833374023,10.376696586608887,False,96.0,-87.99632573127747
59097,32,15.818876986566465,-0.7029677629470825,20.76060116291046,True,96.0,-80.18112301343353
59229,31,18.568889594078065,-22.578824996948242,19.32599115371704,True,93.0,-74.43111040592194
59230,33,67.51322307586669,28.259479522705078,72.42203998565674,True,99.0,-31.48677692413331
59232,36,55.0646484375,-13.613789558410645,71.67645645141602,True,108.0,-52.9353515625
59259,33,48.406156253814686,31.21999168395996,62.64835977554321,True,99.0,-50.593843746185314
59260,33,19.73212118148803,-5.455955982208252,25.417484283447266,True,99.0,-79.26787881851197
59431,41,58.522344034910226,42.763837814331055,72.6165771484375,True,123.0,-64.47765596508978
59444,41,69.29283144176006,44.3873348236084,75.26885569095612,True,123.0,-53.70716855823994
59677,35,58.46286533474922,17.012739181518555,76.54428482055664,True,105.0,-46.53713466525078
61236,32,0.861912631988524,9.631776332855225,0.9576807022094727,False,96.0,-95.13808736801147
61237,34,3.4507693290710435,-12.961790561676025,4.912997245788574,True,102.0,-98.54923067092895
61760,114,60.81634044647217,64.56449508666992,73.09621548652649,False,342.0,-281.18365955352783
63246,32,27.042482328414913,6.835967063903809,30.307316780090332,False,96.0,-68.9575176715851
63247,32,31.709204886108637,11.162798881530762,32.72262281924486,True,96.0,-64.29079511389136
